Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Open Contacts,15,280,279,445,494,592,25,592,0.000%,.51447,12.10,0.19
HomePage,15,309,302,559,684,921,34,921,0.000%,.44372,15.07,0.16
Open random page,114,422,375,648,1020,1709,23,1816,0.000%,1.93611,65.95,0.80
Open Large Calendar,15,503,458,758,816,1016,139,1016,0.000%,.49235,90.08,0.18
Open a post,198,493,480,868,957,1232,43,1500,0.000%,3.36095,96.95,1.37
Add a comment,807,523,446,785,953,1574,23,27149,0.000%,11.14826,25.68,24.25
Open predefined date,37,318,323,574,586,815,46,815,0.000%,.66892,22.33,0.27
Open a random date,114,412,373,677,810,2023,21,2037,0.000%,1.97297,66.57,0.80
Search by name,24,382,311,794,804,1268,60,1268,0.000%,.45646,15.92,0.20
TOTAL,1339,487,432,797,942,1573,21,27149,0.000%,18.25668,286.05,26.88
