Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Main Page,411,150,48,455,567,875,8,2411,0.000%,.91558,27.95,0.30
Open Large Calendar,2461,184,68,508,613,1347,9,2753,0.000%,5.49470,152.19,2.10
Search by name,2331,197,69,540,637,2079,7,2752,0.000%,5.22710,161.20,1.97
Open the first post,2771,184,62,522,618,1048,7,2737,0.000%,6.23947,158.10,2.18
Open predefined date,2413,180,64,520,622,1034,7,2766,0.000%,5.45691,163.15,1.89
Open a random post,2607,177,65,485,609,1331,7,2759,0.000%,5.89436,149.86,2.06
Add Comment,2682,161,57,478,588,846,3,2206,0.000%,6.06381,1.33,13.40
Open Random Page,7143,180,67,525,626,1065,5,2758,0.000%,16.18601,453.65,5.62
HomePage,2408,187,66,522,646,1308,7,2780,0.000%,5.46848,166.96,1.85
Open Contacts,2378,180,60,518,621,1301,6,2759,0.000%,5.45454,111.71,1.83
Open a random date,2376,189,67,531,638,1222,6,2823,0.000%,5.56790,130.43,1.93
TOTAL,29981,181,64,516,623,1235,3,2823,0.000%,66.70494,1646.24,34.52
