Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Main Page,559,93,26,376,440,556,7,665,0.000%,1.03011,31.37,0.34
Open predefined date,6247,101,22,397,475,561,6,736,0.000%,11.57465,344.71,4.01
Search by name,6238,101,23,396,470,550,7,763,0.000%,11.55729,355.33,4.36
Stay at the same page,4729,0,0,0,1,1,0,21,0.000%,8.80559,41.24,0.00
HomePage,3127,103,23,402,470,559,7,776,0.000%,5.81472,177.08,1.96
Open a random post,4816,102,23,395,470,564,6,756,0.000%,8.97163,228.18,3.14
Get random date,2084,0,0,1,1,1,0,15,0.000%,3.89608,0.00,0.00
Open a random date,2084,100,18,392,471,562,5,714,0.000%,3.89124,95.23,1.35
Open Large Calendar,2081,102,22,400,472,565,9,722,0.000%,3.88633,107.63,1.48
Open the first post,2593,103,24,400,474,573,6,716,0.000%,4.85045,122.03,1.70
Open Contacts,1041,103,24,395,474,555,6,742,0.000%,1.95574,40.05,0.66
Add Comment,1480,99,21,389,465,551,3,773,0.000%,2.79738,0.61,6.18
Open Random Page,4575,103,24,399,475,558,6,768,0.000%,8.65757,260.70,3.01
TOTAL,41654,85,16,371,457,552,0,776,0.000%,76.72881,1783.10,27.77
